Name,Type,Category,Color,Price,Description,Year,Region,ABV,Images,quantity,pricedate
Bowmore 1966 Sa,Whiskey,Islay Pure Malt,,42000,"Honey, toffee, exotic, tropical fruits, chocolate, greenhouse and hay-like.",1966,Scotland,43,https://imgur.com/M0e8075,1,42000
The Macallan-Glenlivet 37 Year Old 1937,Whiskey,Scotch,,8000,"A lighter style Macallan with flavors of citrus, vanilla and coconut.",1937,Scotland,43,https://img.thewhiskyexchange.com/900/macg!m1937v8.jpg,1,8000
The Macallan Private Eye 1961,Whiskey,Single Malt Scotch,,7000,"Chocolate, citrus, coal gas, with haylike yet leathery finish.",1961,Scotland,40,https://imgur.com/LwHlvhu,1,7000
Le Chiuse 2013 Brunello di Montalcino,Wine,,Red,79,"Vibrant, elegent, intense, juicy marasca cherry.",2013,Italy,14,https://imgur.com/wInVnIh,1,79
Alpha Omega 2013 Proprietary Red (Napa Valley),Wine,,Red,100,"Black pepper, garrigue, clove and pencil, intensely robust tannin.",2013,California,13,https://imgur.com/rpjUtUW,1,100
Pol Roger 2008 Cuvée Sir Winston Churchill Brut (Champagne),Wine,,White,293,"Richness and longevity, ripe fruit and dominance of pinot noir.",2008,France,13,https://imgur.com/HyrTsMd,1,293
W. & J. Graham's 2016 The Stone Terraces Vintage (Port),Wine,,Red,230,Generous structure and abundant ripe-fruit tones.,2016,Portugal,20,https://imgur.com/LQY8RUm,1,230
Château Lafite Rothschild 2015 Pauillac,Wine,,Red,700,"Rich, tanic, great authority, dark fruit tones.",2015,France,13,https://imgur.com/D1zabSD,1,700
Jameson,Whiskey,Irish Whiskey,,25,Smooth and sweet with woody and nutty tones.,2018,Ireland,50,https://www.celticwhiskeyshop.com/image/data/Whiskey/Jameson_700ml.jpg,1,25
Bowmore 1989 23 year,Whiskey,Single Malt,,450,"Black tea, sweet ash, spine, old chest of drawers, berry bushes, grapefruit peel, orange peel, pineapple, nutmeg, cinnamon, clove, ivy, leather armchair, dark chocolate, dried raspberries.",1989,Scotland,50,https://imgur.com/40DQLWV,1,450
Pieropan 2015 Calvarino (Soave Classico),Wine,,White,23,"Heady aromas of white spring wildflower, citrus blossom, layers of lemon drop, ripe apple, juicy pear and tangy mineral notes.",2015,Spain,13,https://imgur.com/C2caK5M,1,23
Kendall-Jackson 2016 Jackson Estate Outland Ridge Pinot Noir (Anderson Valley),Wine,,Red,42,"Smoked fruit, singed rosemary and black pepper, with a core of deep black-cherry and clove flavors.",2016,California,16,https://imgur.com/byVLM0k,1,42
Kistler 2015 Cuvée Cathleen Kistler Vineyard Chardonnay (Sonoma Valley),Wine,,White,100,Bright and inviting in fennel and dried apricot.,2015,California,14,https://imgur.com/wODd3Rt,1,100
Royal Tokaji 2013 6 Puttonyos Aszú Gold Label (Tokaji),Wine,,White,80,"Luscious apricot, floral honeycomb and fresh pear juice.",2013,Tokaji,10,https://imgur.com/kgYBnYc,1,80
Château Ausone 2015 Saint-Émilion,Wine,,Red,1000,"This magnificent wine brings together the great fruit of the vintage in a complex structure. The acidity, ripe tannins and power of this dense wine are enormous, as is its aging potential. With that acidity and tannic structure, and with the perfumes from the Cabernet Franc, this wine will evolve slowly and with a measured pace. Drink from 2028.",2013,France,14,https://imgur.com/B7On5Ul,1,1000
Suntory Hibiki Japanese Harmony Whisky,Whiskey,Whiskey,,200,"Honeylike sweetness, candied orange peel, white chocolate, with hint of Mizunara (Japanese oak)",2009,Japan,43,https://imgur.com/1g2Zt4I,1,200
Johnnie Walker Blue Label Scotch Whisky,Whiskey,Scotch,,220,"A rich honey sweetness emerges, accompanied by hints of pepper and dried fruits.",2004,Scotland,40,https://www.bottlebuys.com/images/sites/bottlebuys/labels/johnnie-walker-blue-label-scotch.jpg,1,220
Angel's Envy Cask Strength Bourbon,Whiskey,Bourbon,,500,"Caramel, Sweet Raisins, Cola, Herbal Notes.",2010,Kentucky,64,https://imgur.com/eOYXHiO,1,500
Pappy Van Winkle's 15 Year Old,Whiskey,Bourbon,,1400,"See a hazy, copper color. Taste a rich, supple entry, leading to a decadent, huge, full-bodied palate with intense caramel, toffee and peppery brown spice flavors. Then, enjoy a finish with an extreme, long, complex, evolving fade of spice and wood notes. Experts deem it a seductive, exotic and virtually flawless bourbon.",,,53,https://imgur.com/934HRdy,1,1400
Allt-a-Bhainne 2009,Whiskey,Scotch,,80,"Cooked fruit taste with hints of chocolate, wood, and smokey coal.",2009,Scotland,60,https://imgur.com/jF5SrUz,1,80
"Dalmore, 12 year old",Whiskey,Whiskey,,80,"Dalmore 12 is aged for the first nine years in American white oak ex-bourbon casks, before half is transferred to ex-oloroso sherry casks for the final three years. The result is a whisky with a combination of sweetness and rich, sherried flavours.",2002,Scotland,60,https://imgur.com/xlB6rm9,1,80
